DayOfWeek,Period,NbrAppliances,Hour,KWH-6,KWH-5,KWH-4,KWH-3,KWH-2,KWH-1,KWH
4,4,3,5,0.116,0.141,0.08,0.125,0.123,0.098,0.125
4,4,3,6,0.141,0.08,0.125,0.123,0.098,0.125,0.114
5,1,4,1,0.08,0.125,0.123,0.098,0.125,0.114,0.114
5,1,3,2,0.125,0.123,0.098,0.125,0.114,0.114,0.104
5,1,4,3,0.123,0.098,0.125,0.114,0.114,0.104,0.141
5,1,3,4,0.098,0.125,0.114,0.114,0.104,0.141,0.107
5,1,4,5,0.125,0.114,0.114,0.104,0.141,0.107,0.111
5,1,3,6,0.114,0.114,0.104,0.141,0.107,0.111,0.138
5,2,3,1,0.114,0.104,0.141,0.107,0.111,0.138,0.097
5,2,4,2,0.104,0.141,0.107,0.111,0.138,0.097,0.125
5,2,3,3,0.141,0.107,0.111,0.138,0.097,0.125,0.128
5,2,4,4,0.107,0.111,0.138,0.097,0.125,0.128,0.114
5,2,3,5,0.111,0.138,0.097,0.125,0.128,0.114,0.121
5,2,2,6,0.138,0.097,0.125,0.128,0.114,0.121,0.119
5,3,4,1,0.097,0.125,0.128,0.114,0.121,0.119,0.121
5,3,3,2,0.125,0.128,0.114,0.121,0.119,0.121,0.098
5,3,3,3,0.128,0.114,0.121,0.119,0.121,0.098,0.143
5,3,4,4,0.114,0.121,0.119,0.121,0.098,0.143,0.121
5,3,3,5,0.121,0.119,0.121,0.098,0.143,0.121,0.11
5,3,4,6,0.119,0.121,0.098,0.143,0.121,0.11,0.147
5,4,2,1,0.121,0.098,0.143,0.121,0.11,0.147,0.102
5,4,4,2,0.098,0.143,0.121,0.11,0.147,0.102,0.114
5,4,4,3,0.143,0.121,0.11,0.147,0.102,0.114,0.126
5,4,3,4,0.121,0.11,0.147,0.102,0.114,0.126,0.12
5,4,4,5,0.11,0.147,0.102,0.114,0.126,0.12,0.111
5,4,3,6,0.147,0.102,0.114,0.126,0.12,0.111,0.122
6,1,4,1,0.102,0.114,0.126,0.12,0.111,0.122,0.133
6,1,2,2,0.114,0.126,0.12,0.111,0.122,0.133,0.083
6,1,4,3,0.126,0.12,0.111,0.122,0.133,0.083,0.141
6,1,4,4,0.12,0.111,0.122,0.133,0.083,0.141,0.127
6,1,3,5,0.111,0.122,0.133,0.083,0.141,0.127,0.092
6,1,4,6,0.122,0.133,0.083,0.141,0.127,0.092,0.14
6,2,2,1,0.133,0.083,0.141,0.127,0.092,0.14,0.113
6,2,4,2,0.083,0.141,0.127,0.092,0.14,0.113,0.108
6,2,4,3,0.141,0.127,0.092,0.14,0.113,0.108,0.132
6,2,3,4,0.127,0.092,0.14,0.113,0.108,0.132,0.126
6,2,3,5,0.092,0.14,0.113,0.108,0.132,0.126,0.103
6,2,3,6,0.14,0.113,0.108,0.132,0.126,0.103,0.118
6,3,3,1,0.113,0.108,0.132,0.126,0.103,0.118,0.141
6,3,4,2,0.108,0.132,0.126,0.103,0.118,0.141,0.086
6,3,3,3,0.132,0.126,0.103,0.118,0.141,0.086,0.136
6,3,5,4,0.126,0.103,0.118,0.141,0.086,0.136,0.316
6,3,5,5,0.103,0.118,0.141,0.086,0.136,0.316,0.17
6,3,4,6,0.118,0.141,0.086,0.136,0.316,0.17,0.492
6,4,5,1,0.141,0.086,0.136,0.316,0.17,0.492,0.223
6,4,3,2,0.086,0.136,0.316,0.17,0.492,0.223,0.633
6,4,5,3,0.136,0.316,0.17,0.492,0.223,0.633,0.219
6,4,4,4,0.316,0.17,0.492,0.223,0.633,0.219,0.332
6,4,4,5,0.17,0.492,0.223,0.633,0.219,0.332,0.481
6,4,4,6,0.492,0.223,0.633,0.219,0.332,0.481,0.211
7,1,4,1,0.223,0.633,0.219,0.332,0.481,0.211,0.979
7,1,4,2,0.633,0.219,0.332,0.481,0.211,0.979,0.176
7,1,4,3,0.219,0.332,0.481,0.211,0.979,0.176,0.217
7,1,3,4,0.332,0.481,0.211,0.979,0.176,0.217,0.124
7,1,4,5,0.481,0.211,0.979,0.176,0.217,0.124,0.105
7,1,3,6,0.211,0.979,0.176,0.217,0.124,0.105,0.119
7,2,4,1,0.979,0.176,0.217,0.124,0.105,0.119,0.137
7,2,3,2,0.176,0.217,0.124,0.105,0.119,0.137,0.106
7,2,4,3,0.217,0.124,0.105,0.119,0.137,0.106,0.693
7,2,4,4,0.124,0.105,0.119,0.137,0.106,0.693,1.318
7,2,4,5,0.105,0.119,0.137,0.106,0.693,1.318,0.585
7,2,5,6,0.119,0.137,0.106,0.693,1.318,0.585,0.213
7,3,4,1,0.137,0.106,0.693,1.318,0.585,0.213,1.077
7,3,5,2,0.106,0.693,1.318,0.585,0.213,1.077,0.517
7,3,5,3,0.693,1.318,0.585,0.213,1.077,0.517,0.215
7,3,5,4,1.318,0.585,0.213,1.077,0.517,0.215,1.693
7,3,5,5,0.585,0.213,1.077,0.517,0.215,1.693,0.268
7,3,4,6,0.213,1.077,0.517,0.215,1.693,0.268,0.394
7,4,4,1,1.077,0.517,0.215,1.693,0.268,0.394,0.167
7,4,3,2,0.517,0.215,1.693,0.268,0.394,0.167,0.139
7,4,3,3,0.215,1.693,0.268,0.394,0.167,0.139,0.121
7,4,4,4,1.693,0.268,0.394,0.167,0.139,0.121,0.269
7,4,4,5,0.268,0.394,0.167,0.139,0.121,0.269,0.194
7,4,4,6,0.394,0.167,0.139,0.121,0.269,0.194,0.142
1,1,3,1,0.167,0.139,0.121,0.269,0.194,0.142,0.328
1,1,4,2,0.139,0.121,0.269,0.194,0.142,0.328,0.108
1,1,3,3,0.121,0.269,0.194,0.142,0.328,0.108,0.139
1,1,3,4,0.269,0.194,0.142,0.328,0.108,0.139,0.117
1,1,4,5,0.194,0.142,0.328,0.108,0.139,0.117,0.11
1,1,3,6,0.142,0.328,0.108,0.139,0.117,0.11,0.124
1,2,4,1,0.328,0.108,0.139,0.117,0.11,0.124,0.126
1,2,3,2,0.108,0.139,0.117,0.11,0.124,0.126,0.126
1,2,5,3,0.139,0.117,0.11,0.124,0.126,0.126,0.477
1,2,4,4,0.117,0.11,0.124,0.126,0.126,0.477,0.183
1,2,4,5,0.11,0.124,0.126,0.126,0.477,0.183,0.143
1,2,4,6,0.124,0.126,0.126,0.477,0.183,0.143,0.089
1,3,3,1,0.126,0.126,0.477,0.183,0.143,0.089,0.129
1,3,4,2,0.126,0.477,0.183,0.143,0.089,0.129,0.144
1,3,4,3,0.477,0.183,0.143,0.089,0.129,0.144,0.26
1,3,5,4,0.183,0.143,0.089,0.129,0.144,0.26,0.327
1,3,5,5,0.143,0.089,0.129,0.144,0.26,0.327,1.501
1,3,4,6,0.089,0.129,0.144,0.26,0.327,1.501,0.381
1,4,3,1,0.129,0.144,0.26,0.327,1.501,0.381,0.082
1,4,5,2,0.144,0.26,0.327,1.501,0.381,0.082,0.343
1,4,5,3,0.26,0.327,1.501,0.381,0.082,0.343,0.187
1,4,4,4,0.327,1.501,0.381,0.082,0.343,0.187,0.1
1,4,3,5,1.501,0.381,0.082,0.343,0.187,0.1,0.127
1,4,4,6,0.381,0.082,0.343,0.187,0.1,0.127,0.135
2,1,3,1,0.082,0.343,0.187,0.1,0.127,0.135,0.115
2,1,4,2,0.343,0.187,0.1,0.127,0.135,0.115,0.105
2,1,5,3,0.187,0.1,0.127,0.135,0.115,0.105,0.32
2,1,4,4,0.1,0.127,0.135,0.115,0.105,0.32,0.178
2,1,3,5,0.127,0.135,0.115,0.105,0.32,0.178,0.116
2,1,4,6,0.135,0.115,0.105,0.32,0.178,0.116,0.108
2,2,3,1,0.115,0.105,0.32,0.178,0.116,0.108,0.135
2,2,4,2,0.105,0.32,0.178,0.116,0.108,0.135,0.128
2,2,3,3,0.32,0.178,0.116,0.108,0.135,0.128,0.091
2,2,3,4,0.178,0.116,0.108,0.135,0.128,0.091,0.14
2,2,4,5,0.116,0.108,0.135,0.128,0.091,0.14,0.133
2,2,4,6,0.108,0.135,0.128,0.091,0.14,0.133,0.125
2,3,5,1,0.135,0.128,0.091,0.14,0.133,0.125,0.322
2,3,3,2,0.128,0.091,0.14,0.133,0.125,0.322,0.138
2,3,3,3,0.091,0.14,0.133,0.125,0.322,0.138,0.1
2,3,3,4,0.14,0.133,0.125,0.322,0.138,0.1,0.122
2,3,4,5,0.133,0.125,0.322,0.138,0.1,0.122,0.55
2,3,3,6,0.125,0.322,0.138,0.1,0.122,0.55,1.212
2,4,4,1,0.322,0.138,0.1,0.122,0.55,1.212,0.106
2,4,3,2,0.138,0.1,0.122,0.55,1.212,0.106,0.127
2,4,4,3,0.1,0.122,0.55,1.212,0.106,0.127,0.143
2,4,3,4,0.122,0.55,1.212,0.106,0.127,0.143,0.118
2,4,4,5,0.55,1.212,0.106,0.127,0.143,0.118,0.131
2,4,4,6,1.212,0.106,0.127,0.143,0.118,0.131,0.143
3,1,3,1,0.106,0.127,0.143,0.118,0.131,0.143,0.133
3,1,3,2,0.127,0.143,0.118,0.131,0.143,0.133,0.086
3,1,4,3,0.143,0.118,0.131,0.143,0.133,0.086,0.133
3,1,4,4,0.118,0.131,0.143,0.133,0.086,0.133,0.136
3,1,3,5,0.131,0.143,0.133,0.086,0.133,0.136,0.103
3,1,4,6,0.143,0.133,0.086,0.133,0.136,0.103,0.113
3,2,4,1,0.133,0.086,0.133,0.136,0.103,0.113,0.141
3,2,3,2,0.086,0.133,0.136,0.103,0.113,0.141,0.117
3,2,4,3,0.133,0.136,0.103,0.113,0.141,0.117,0.101
3,2,3,4,0.136,0.103,0.113,0.141,0.117,0.101,0.139
3,2,4,5,0.103,0.113,0.141,0.117,0.101,0.139,0.136
3,2,2,6,0.113,0.141,0.117,0.101,0.139,0.136,0.082
3,3,4,1,0.141,0.117,0.101,0.139,0.136,0.082,0.141
3,3,4,2,0.117,0.101,0.139,0.136,0.082,0.141,0.138
3,3,4,3,0.101,0.139,0.136,0.082,0.141,0.138,0.304
3,3,5,4,0.139,0.136,0.082,0.141,0.138,0.304,0.135
3,3,3,5,0.136,0.082,0.141,0.138,0.304,0.135,0.145
3,3,3,6,0.082,0.141,0.138,0.304,0.135,0.145,0.121
3,4,4,1,0.141,0.138,0.304,0.135,0.145,0.121,0.617
3,4,4,2,0.138,0.304,0.135,0.145,0.121,0.617,1.1
3,4,3,3,0.304,0.135,0.145,0.121,0.617,1.1,0.124
3,4,3,4,0.135,0.145,0.121,0.617,1.1,0.124,0.095
3,4,4,5,0.145,0.121,0.617,1.1,0.124,0.095,0.135
3,4,3,6,0.121,0.617,1.1,0.124,0.095,0.135,0.129
4,1,4,1,0.617,1.1,0.124,0.095,0.135,0.129,0.112
4,1,4,2,1.1,0.124,0.095,0.135,0.129,0.112,0.484
4,1,4,3,0.124,0.095,0.135,0.129,0.112,0.484,1.135
4,1,4,4,0.095,0.135,0.129,0.112,0.484,1.135,0.131
4,1,3,5,0.135,0.129,0.112,0.484,1.135,0.131,0.109
4,1,3,6,0.129,0.112,0.484,1.135,0.131,0.109,0.138
4,2,3,1,0.112,0.484,1.135,0.131,0.109,0.138,0.137
4,2,4,2,0.484,1.135,0.131,0.109,0.138,0.137,0.099
4,2,3,3,1.135,0.131,0.109,0.138,0.137,0.099,0.125
4,2,5,4,0.131,0.109,0.138,0.137,0.099,0.125,0.289
4,2,5,5,0.109,0.138,0.137,0.099,0.125,0.289,0.864
4,2,4,6,0.138,0.137,0.099,0.125,0.289,0.864,0.18
4,3,4,1,0.137,0.099,0.125,0.289,0.864,0.18,1.127
4,3,5,2,0.099,0.125,0.289,0.864,0.18,1.127,1.042
4,3,5,3,0.125,0.289,0.864,0.18,1.127,1.042,0.114
4,3,4,4,0.289,0.864,0.18,1.127,1.042,0.114,0.158
4,3,4,5,0.864,0.18,1.127,1.042,0.114,0.158,0.134
4,3,3,6,0.18,1.127,1.042,0.114,0.158,0.134,0.117
4,4,4,1,1.127,1.042,0.114,0.158,0.134,0.117,0.116
4,4,3,2,1.042,0.114,0.158,0.134,0.117,0.116,0.123
4,4,4,3,0.114,0.158,0.134,0.117,0.116,0.123,0.129
4,4,3,4,0.158,0.134,0.117,0.116,0.123,0.129,0.123
4,4,4,5,0.134,0.117,0.116,0.123,0.129,0.123,0.134
4,4,4,6,0.117,0.116,0.123,0.129,0.123,0.134,1.03
5,1,4,1,0.116,0.123,0.129,0.123,0.134,1.03,0.756
5,1,4,2,0.123,0.129,0.123,0.134,1.03,0.756,0.123
5,1,3,3,0.129,0.123,0.134,1.03,0.756,0.123,0.124
5,1,4,4,0.123,0.134,1.03,0.756,0.123,0.124,0.117
5,1,3,5,0.134,1.03,0.756,0.123,0.124,0.117,0.118
5,1,4,6,1.03,0.756,0.123,0.124,0.117,0.118,0.12
5,2,4,1,0.756,0.123,0.124,0.117,0.118,0.12,0.135
5,2,2,2,0.123,0.124,0.117,0.118,0.12,0.135,0.101
5,2,4,3,0.124,0.117,0.118,0.12,0.135,0.101,0.121
5,2,3,4,0.117,0.118,0.12,0.135,0.101,0.121,0.135
5,2,4,5,0.118,0.12,0.135,0.101,0.121,0.135,0.122
5,2,3,6,0.12,0.135,0.101,0.121,0.135,0.122,0.109
5,3,4,1,0.135,0.101,0.121,0.135,0.122,0.109,0.132
5,3,4,2,0.101,0.121,0.135,0.122,0.109,0.132,0.132
5,3,3,3,0.121,0.135,0.122,0.109,0.132,0.132,0.104
5,3,4,4,0.135,0.122,0.109,0.132,0.132,0.104,0.14
5,3,3,5,0.122,0.109,0.132,0.132,0.104,0.14,0.139
5,3,4,6,0.109,0.132,0.132,0.104,0.14,0.139,1.04
5,4,4,1,0.132,0.132,0.104,0.14,0.139,1.04,0.347
5,4,4,2,0.132,0.104,0.14,0.139,1.04,0.347,0.167
5,4,3,3,0.104,0.14,0.139,1.04,0.347,0.167,0.128
5,4,4,4,0.14,0.139,1.04,0.347,0.167,0.128,0.416
5,4,4,5,0.139,1.04,0.347,0.167,0.128,0.416,1.081
5,4,4,6,1.04,0.347,0.167,0.128,0.416,1.081,0.14
6,1,3,1,0.347,0.167,0.128,0.416,1.081,0.14,0.102
6,1,4,2,0.167,0.128,0.416,1.081,0.14,0.102,0.083
6,1,3,3,0.128,0.416,1.081,0.14,0.102,0.083,0.106
6,1,3,4,0.416,1.081,0.14,0.102,0.083,0.106,0.131
6,1,4,5,1.081,0.14,0.102,0.083,0.106,0.131,0.139
6,1,3,6,0.14,0.102,0.083,0.106,0.131,0.139,0.09
6,2,4,1,0.102,0.083,0.106,0.131,0.139,0.09,0.121
6,2,4,2,0.083,0.106,0.131,0.139,0.09,0.121,0.136
6,2,3,3,0.106,0.131,0.139,0.09,0.121,0.136,0.119
6,2,3,4,0.131,0.139,0.09,0.121,0.136,0.119,0.12
6,2,3,5,0.139,0.09,0.121,0.136,0.119,0.12,0.13
6,2,5,6,0.09,0.121,0.136,0.119,0.12,0.13,0.333
6,3,4,1,0.121,0.136,0.119,0.12,0.13,0.333,0.45
6,3,5,2,0.136,0.119,0.12,0.13,0.333,0.45,0.25
6,3,4,3,0.119,0.12,0.13,0.333,0.45,0.25,0.17
6,3,4,4,0.12,0.13,0.333,0.45,0.25,0.17,0.117
6,3,4,5,0.13,0.333,0.45,0.25,0.17,0.117,0.14
6,3,3,6,0.333,0.45,0.25,0.17,0.117,0.14,0.124
6,4,4,1,0.45,0.25,0.17,0.117,0.14,0.124,0.101
6,4,3,2,0.25,0.17,0.117,0.14,0.124,0.101,0.136
6,4,4,3,0.17,0.117,0.14,0.124,0.101,0.136,0.135
6,4,3,4,0.117,0.14,0.124,0.101,0.136,0.135,0.11
6,4,4,5,0.14,0.124,0.101,0.136,0.135,0.11,0.139
6,4,3,6,0.124,0.101,0.136,0.135,0.11,0.139,0.135
7,1,4,1,0.101,0.136,0.135,0.11,0.139,0.135,0.066
7,1,3,2,0.136,0.135,0.11,0.139,0.135,0.066,0.097
7,1,3,3,0.135,0.11,0.139,0.135,0.066,0.097,0.136
7,1,4,4,0.11,0.139,0.135,0.066,0.097,0.136,0.097
7,1,4,5,0.139,0.135,0.066,0.097,0.136,0.097,0.141
7,1,3,6,0.135,0.066,0.097,0.136,0.097,0.141,0.12
7,2,4,1,0.066,0.097,0.136,0.097,0.141,0.12,0.092
7,2,3,2,0.097,0.136,0.097,0.141,0.12,0.092,0.138
7,2,4,3,0.136,0.097,0.141,0.12,0.092,0.138,0.137
7,2,4,4,0.097,0.141,0.12,0.092,0.138,0.137,0.098
7,2,3,5,0.141,0.12,0.092,0.138,0.137,0.098,0.137
7,2,4,6,0.12,0.092,0.138,0.137,0.098,0.137,0.129
7,3,3,1,0.092,0.138,0.137,0.098,0.137,0.129,0.096
7,3,4,2,0.138,0.137,0.098,0.137,0.129,0.096,0.146
7,3,4,3,0.137,0.098,0.137,0.129,0.096,0.146,0.176
7,3,3,4,0.098,0.137,0.129,0.096,0.146,0.176,1.315
7,3,4,5,0.137,0.129,0.096,0.146,0.176,1.315,0.139
7,3,3,6,0.129,0.096,0.146,0.176,1.315,0.139,0.132
7,4,3,1,0.096,0.146,0.176,1.315,0.139,0.132,0.091
7,4,3,2,0.146,0.176,1.315,0.139,0.132,0.091,0.136
7,4,3,3,0.176,1.315,0.139,0.132,0.091,0.136,0.14
7,4,3,4,1.315,0.139,0.132,0.091,0.136,0.14,0.103
7,4,3,5,0.139,0.132,0.091,0.136,0.14,0.103,0.138
7,4,3,6,0.132,0.091,0.136,0.14,0.103,0.138,0.141
1,1,3,1,0.091,0.136,0.14,0.103,0.138,0.141,0.091
1,1,4,2,0.136,0.14,0.103,0.138,0.141,0.091,0.122
1,1,3,3,0.14,0.103,0.138,0.141,0.091,0.122,0.137
1,1,4,4,0.103,0.138,0.141,0.091,0.122,0.137,0.104
1,1,4,5,0.138,0.141,0.091,0.122,0.137,0.104,0.132
1,1,3,6,0.141,0.091,0.122,0.137,0.104,0.132,0.132
1,2,4,1,0.091,0.122,0.137,0.104,0.132,0.132,0.097
1,2,3,2,0.122,0.137,0.104,0.132,0.132,0.097,0.122
1,2,4,3,0.137,0.104,0.132,0.132,0.097,0.122,0.138
1,2,3,4,0.104,0.132,0.132,0.097,0.122,0.138,0.112
1,2,4,5,0.132,0.132,0.097,0.122,0.138,0.112,0.126
1,2,4,6,0.132,0.097,0.122,0.138,0.112,0.126,0.13
1,3,3,1,0.097,0.122,0.138,0.112,0.126,0.13,0.116
1,3,4,2,0.122,0.138,0.112,0.126,0.13,0.116,0.126
1,3,3,3,0.138,0.112,0.126,0.13,0.116,0.126,0.131
1,3,4,4,0.112,0.126,0.13,0.116,0.126,0.131,0.26
1,3,4,5,0.126,0.13,0.116,0.126,0.131,0.26,1.23
1,3,4,6,0.13,0.116,0.126,0.131,0.26,1.23,0.384
1,4,4,1,0.116,0.126,0.131,0.26,1.23,0.384,0.109
1,4,4,2,0.126,0.131,0.26,1.23,0.384,0.109,0.118
1,4,4,3,0.131,0.26,1.23,0.384,0.109,0.118,0.148
1,4,4,4,0.26,1.23,0.384,0.109,0.118,0.148,0.131
1,4,3,5,1.23,0.384,0.109,0.118,0.148,0.131,0.102
1,4,4,6,0.384,0.109,0.118,0.148,0.131,0.102,0.14
2,1,3,1,0.109,0.118,0.148,0.131,0.102,0.14,0.123
2,1,4,2,0.118,0.148,0.131,0.102,0.14,0.123,0.102
2,1,4,3,0.148,0.131,0.102,0.14,0.123,0.102,0.135
2,1,3,4,0.131,0.102,0.14,0.123,0.102,0.135,0.123
2,1,4,5,0.102,0.14,0.123,0.102,0.135,0.123,0.111
2,1,3,6,0.14,0.123,0.102,0.135,0.123,0.111,0.125
2,2,4,1,0.123,0.102,0.135,0.123,0.111,0.125,0.125
2,2,3,2,0.102,0.135,0.123,0.111,0.125,0.125,0.112
2,2,4,3,0.135,0.123,0.111,0.125,0.125,0.112,0.127
2,2,3,4,0.123,0.111,0.125,0.125,0.112,0.127,0.127
2,2,4,5,0.111,0.125,0.125,0.112,0.127,0.127,0.115
2,2,3,6,0.125,0.125,0.112,0.127,0.127,0.115,0.124
2,3,5,1,0.125,0.112,0.127,0.127,0.115,0.124,0.963
2,3,4,2,0.112,0.127,0.127,0.115,0.124,0.963,0.22
2,3,5,3,0.127,0.127,0.115,0.124,0.963,0.22,0.219
2,3,5,4,0.127,0.115,0.124,0.963,0.22,0.219,0.141
2,3,4,5,0.115,0.124,0.963,0.22,0.219,0.141,0.543
2,3,4,6,0.124,0.963,0.22,0.219,0.141,0.543,1.241
2,4,4,1,0.963,0.22,0.219,0.141,0.543,1.241,0.358
2,4,4,2,0.22,0.219,0.141,0.543,1.241,0.358,1.48
2,4,5,3,0.219,0.141,0.543,1.241,0.358,1.48,0.35
2,4,3,4,0.141,0.543,1.241,0.358,1.48,0.35,0.112
2,4,5,5,0.543,1.241,0.358,1.48,0.35,0.112,0.14
2,4,4,6,1.241,0.358,1.48,0.35,0.112,0.14,0.129
3,1,3,1,0.358,1.48,0.35,0.112,0.14,0.129,0.109
3,1,4,2,1.48,0.35,0.112,0.14,0.129,0.109,0.121
3,1,3,3,0.35,0.112,0.14,0.129,0.109,0.121,0.114
3,1,4,4,0.112,0.14,0.129,0.109,0.121,0.114,0.123
3,1,3,5,0.14,0.129,0.109,0.121,0.114,0.123,0.131
3,1,4,6,0.129,0.109,0.121,0.114,0.123,0.131,0.09
3,2,4,1,0.109,0.121,0.114,0.123,0.131,0.09,0.141
3,2,3,2,0.121,0.114,0.123,0.131,0.09,0.141,0.137
3,2,3,3,0.114,0.123,0.131,0.09,0.141,0.137,0.083
3,2,3,4,0.123,0.131,0.09,0.141,0.137,0.083,0.139
3,2,3,5,0.131,0.09,0.141,0.137,0.083,0.139,0.129
3,2,4,6,0.09,0.141,0.137,0.083,0.139,0.129,0.093
3,3,3,1,0.141,0.137,0.083,0.139,0.129,0.093,0.148
3,3,4,2,0.137,0.083,0.139,0.129,0.093,0.148,0.157
3,3,4,3,0.083,0.139,0.129,0.093,0.148,0.157,0.172
3,3,3,4,0.139,0.129,0.093,0.148,0.157,0.172,0.191
3,3,4,5,0.129,0.093,0.148,0.157,0.172,0.191,0.169
3,3,4,6,0.093,0.148,0.157,0.172,0.191,0.169,0.159
3,4,4,1,0.148,0.157,0.172,0.191,0.169,0.159,0.642
3,4,4,2,0.157,0.172,0.191,0.169,0.159,0.642,1.059
3,4,3,3,0.172,0.191,0.169,0.159,0.642,1.059,0.121
3,4,3,4,0.191,0.169,0.159,0.642,1.059,0.121,0.142
3,4,4,5,0.169,0.159,0.642,1.059,0.121,0.142,0.143
3,4,3,6,0.159,0.642,1.059,0.121,0.142,0.143,0.114
4,1,4,1,0.642,1.059,0.121,0.142,0.143,0.114,0.111
4,1,4,2,1.059,0.121,0.142,0.143,0.114,0.111,0.502
4,1,4,3,0.121,0.142,0.143,0.114,0.111,0.502,1.135
4,1,4,4,0.142,0.143,0.114,0.111,0.502,1.135,0.128
4,1,4,5,0.143,0.114,0.111,0.502,1.135,0.128,0.109
4,1,3,6,0.114,0.111,0.502,1.135,0.128,0.109,0.126
4,2,4,1,0.111,0.502,1.135,0.128,0.109,0.126,0.123
4,2,3,2,0.502,1.135,0.128,0.109,0.126,0.123,0.131
4,2,3,3,1.135,0.128,0.109,0.126,0.123,0.131,0.129
4,2,4,4,0.128,0.109,0.126,0.123,0.131,0.129,0.136
4,2,4,5,0.109,0.126,0.123,0.131,0.129,0.136,0.126
4,2,3,6,0.126,0.123,0.131,0.129,0.136,0.126,0.104
4,3,4,1,0.123,0.131,0.129,0.136,0.126,0.104,0.137
4,3,3,2,0.131,0.129,0.136,0.126,0.104,0.137,0.124
4,3,4,3,0.129,0.136,0.126,0.104,0.137,0.124,0.096
4,3,3,4,0.136,0.126,0.104,0.137,0.124,0.096,0.146
4,3,4,5,0.126,0.104,0.137,0.124,0.096,0.146,0.133
4,3,3,6,0.104,0.137,0.124,0.096,0.146,0.133,0.097
4,4,3,1,0.137,0.124,0.096,0.146,0.133,0.097,0.141
