DayOfWeek,Period,NbrAppliances,Hour,KWH-6,KWH-5,KWH-4,KWH-3,KWH-2,KWH-1,KWH
4,4,4,2,0.124,0.096,0.146,0.133,0.097,0.141,0.12
4,4,3,3,0.096,0.146,0.133,0.097,0.141,0.12,0.098
4,4,2,4,0.146,0.133,0.097,0.141,0.12,0.098,0.12
4,4,4,5,0.133,0.097,0.141,0.12,0.098,0.12,0.114
4,4,3,6,0.097,0.141,0.12,0.098,0.12,0.114,1.008
5,1,4,1,0.141,0.12,0.098,0.12,0.114,1.008,0.786
5,1,4,2,0.12,0.098,0.12,0.114,1.008,0.786,0.097
5,1,2,3,0.098,0.12,0.114,1.008,0.786,0.097,0.118
5,1,4,4,0.12,0.114,1.008,0.786,0.097,0.118,0.139
5,1,2,5,0.114,1.008,0.786,0.097,0.118,0.139,0.1
5,1,3,6,1.008,0.786,0.097,0.118,0.139,0.1,0.118
5,2,4,1,0.786,0.097,0.118,0.139,0.1,0.118,0.125
5,2,3,2,0.097,0.118,0.139,0.1,0.118,0.125,0.115
5,2,4,3,0.118,0.139,0.1,0.118,0.125,0.115,0.138
5,2,4,4,0.139,0.1,0.118,0.125,0.115,0.138,0.097
5,2,3,5,0.1,0.118,0.125,0.115,0.138,0.097,0.13
5,2,5,6,0.118,0.125,0.115,0.138,0.097,0.13,0.997
5,3,3,1,0.125,0.115,0.138,0.097,0.13,0.997,0.191
5,3,5,2,0.115,0.138,0.097,0.13,0.997,0.191,0.303
5,3,5,3,0.138,0.097,0.13,0.997,0.191,0.303,1.255
5,3,3,4,0.097,0.13,0.997,0.191,0.303,1.255,0.197
5,3,5,5,0.13,0.997,0.191,0.303,1.255,0.197,0.482
5,3,5,6,0.997,0.191,0.303,1.255,0.197,0.482,1.826
5,4,5,1,0.191,0.303,1.255,0.197,0.482,1.826,0.56
5,4,5,2,0.303,1.255,0.197,0.482,1.826,0.56,0.684
5,4,4,3,1.255,0.197,0.482,1.826,0.56,0.684,0.216
5,4,5,4,0.197,0.482,1.826,0.56,0.684,0.216,0.48
5,4,5,5,0.482,1.826,0.56,0.684,0.216,0.48,1.493
5,4,5,6,1.826,0.56,0.684,0.216,0.48,1.493,0.72
6,1,4,1,0.56,0.684,0.216,0.48,1.493,0.72,1.315
6,1,5,2,0.684,0.216,0.48,1.493,0.72,1.315,0.244
6,1,4,3,0.216,0.48,1.493,0.72,1.315,0.244,0.114
6,1,3,4,0.48,1.493,0.72,1.315,0.244,0.114,0.121
6,1,4,5,1.493,0.72,1.315,0.244,0.114,0.121,0.126
6,1,3,6,0.72,1.315,0.244,0.114,0.121,0.126,0.099
6,2,4,1,1.315,0.244,0.114,0.121,0.126,0.099,0.134
6,2,4,2,0.244,0.114,0.121,0.126,0.099,0.134,0.108
6,2,2,3,0.114,0.121,0.126,0.099,0.134,0.108,0.11
6,2,5,4,0.121,0.126,0.099,0.134,0.108,0.11,0.159
6,2,2,5,0.126,0.099,0.134,0.108,0.11,0.159,0.094
6,2,4,6,0.099,0.134,0.108,0.11,0.159,0.094,0.126
6,3,3,1,0.134,0.108,0.11,0.159,0.094,0.126,0.123
6,3,4,2,0.108,0.11,0.159,0.094,0.126,0.123,0.118
6,3,3,3,0.11,0.159,0.094,0.126,0.123,0.118,0.117
6,3,4,4,0.159,0.094,0.126,0.123,0.118,0.117,0.139
6,3,4,5,0.094,0.126,0.123,0.118,0.117,0.139,0.143
6,3,3,6,0.126,0.123,0.118,0.117,0.139,0.143,0.095
6,4,4,1,0.123,0.118,0.117,0.139,0.143,0.095,0.12
6,4,3,2,0.118,0.117,0.139,0.143,0.095,0.12,0.133
6,4,3,3,0.117,0.139,0.143,0.095,0.12,0.133,0.129
6,4,4,4,0.139,0.143,0.095,0.12,0.133,0.129,0.102
6,4,4,5,0.143,0.095,0.12,0.133,0.129,0.102,0.13
6,4,3,6,0.095,0.12,0.133,0.129,0.102,0.13,0.127
7,1,3,1,0.12,0.133,0.129,0.102,0.13,0.127,0.09
7,1,4,2,0.133,0.129,0.102,0.13,0.127,0.09,0.073
7,1,3,3,0.129,0.102,0.13,0.127,0.09,0.073,0.126
7,1,4,4,0.102,0.13,0.127,0.09,0.073,0.126,0.119
7,1,4,5,0.13,0.127,0.09,0.073,0.126,0.119,0.123
7,1,3,6,0.127,0.09,0.073,0.126,0.119,0.123,0.095
7,2,4,1,0.09,0.073,0.126,0.119,0.123,0.095,0.13
7,2,3,2,0.073,0.126,0.119,0.123,0.095,0.13,0.134
7,2,3,3,0.126,0.119,0.123,0.095,0.13,0.134,0.088
7,2,4,4,0.119,0.123,0.095,0.13,0.134,0.088,0.125
7,2,3,5,0.123,0.095,0.13,0.134,0.088,0.125,0.143
7,2,3,6,0.095,0.13,0.134,0.088,0.125,0.143,0.124
7,3,3,1,0.13,0.134,0.088,0.125,0.143,0.124,0.128
7,3,4,2,0.134,0.088,0.125,0.143,0.124,0.128,0.113
7,3,3,3,0.088,0.125,0.143,0.124,0.128,0.113,0.174
7,3,4,4,0.125,0.143,0.124,0.128,0.113,0.174,1.123
7,3,4,5,0.143,0.124,0.128,0.113,0.174,1.123,0.633
7,3,4,6,0.124,0.128,0.113,0.174,1.123,0.633,0.116
7,4,4,1,0.128,0.113,0.174,1.123,0.633,0.116,0.131
7,4,3,2,0.113,0.174,1.123,0.633,0.116,0.131,0.67
7,4,5,3,0.174,1.123,0.633,0.116,0.131,0.67,1.517
7,4,5,4,1.123,0.633,0.116,0.131,0.67,1.517,0.23
7,4,4,5,0.633,0.116,0.131,0.67,1.517,0.23,0.233
7,4,3,6,0.116,0.131,0.67,1.517,0.23,0.233,0.094
1,1,3,1,0.131,0.67,1.517,0.23,0.233,0.094,0.106
1,1,3,2,0.67,1.517,0.23,0.233,0.094,0.106,0.096
1,1,3,3,1.517,0.23,0.233,0.094,0.106,0.096,0.094
1,1,3,4,0.23,0.233,0.094,0.106,0.096,0.094,0.13
1,1,3,5,0.233,0.094,0.106,0.096,0.094,0.13,0.124
1,1,3,6,0.094,0.106,0.096,0.094,0.13,0.124,0.081
1,2,4,1,0.106,0.096,0.094,0.13,0.124,0.081,0.136
1,2,3,2,0.096,0.094,0.13,0.124,0.081,0.136,0.139
1,2,3,3,0.094,0.13,0.124,0.081,0.136,0.139,0.929
1,2,4,4,0.13,0.124,0.081,0.136,0.139,0.929,0.466
1,2,4,5,0.124,0.081,0.136,0.139,0.929,0.466,0.135
1,2,3,6,0.081,0.136,0.139,0.929,0.466,0.135,0.078
1,3,4,1,0.136,0.139,0.929,0.466,0.135,0.078,0.173
1,3,4,2,0.139,0.929,0.466,0.135,0.078,0.173,0.174
1,3,4,3,0.929,0.466,0.135,0.078,0.173,0.174,0.1
1,3,4,4,0.466,0.135,0.078,0.173,0.174,0.1,0.132
1,3,3,5,0.135,0.078,0.173,0.174,0.1,0.132,0.143
1,3,3,6,0.078,0.173,0.174,0.1,0.132,0.143,0.118
1,4,4,1,0.173,0.174,0.1,0.132,0.143,0.118,0.099
1,4,3,2,0.174,0.1,0.132,0.143,0.118,0.099,0.139
1,4,4,3,0.1,0.132,0.143,0.118,0.099,0.139,0.107
1,4,4,4,0.132,0.143,0.118,0.099,0.139,0.107,0.954
1,4,4,5,0.143,0.118,0.099,0.139,0.107,0.954,0.508
1,4,4,6,0.118,0.099,0.139,0.107,0.954,0.508,0.083
2,1,3,1,0.099,0.139,0.107,0.954,0.508,0.083,0.111
2,1,3,2,0.139,0.107,0.954,0.508,0.083,0.111,0.125
2,1,4,3,0.107,0.954,0.508,0.083,0.111,0.125,0.093
2,1,3,4,0.954,0.508,0.083,0.111,0.125,0.093,0.123
2,1,4,5,0.508,0.083,0.111,0.125,0.093,0.123,0.126
2,1,4,6,0.083,0.111,0.125,0.093,0.123,0.126,0.107
2,2,2,1,0.111,0.125,0.093,0.123,0.126,0.107,0.119
2,2,4,2,0.125,0.093,0.123,0.126,0.107,0.119,0.113
2,2,3,3,0.093,0.123,0.126,0.107,0.119,0.113,0.129
2,2,4,4,0.123,0.126,0.107,0.119,0.113,0.129,1.152
2,2,4,5,0.126,0.107,0.119,0.113,0.129,1.152,0.515
2,2,4,6,0.107,0.119,0.113,0.129,1.152,0.515,0.159
2,3,4,1,0.119,0.113,0.129,1.152,0.515,0.159,0.176
2,3,4,2,0.113,0.129,1.152,0.515,0.159,0.176,0.187
2,3,3,3,0.129,1.152,0.515,0.159,0.176,0.187,0.163
2,3,4,4,1.152,0.515,0.159,0.176,0.187,0.163,0.146
2,3,4,5,0.515,0.159,0.176,0.187,0.163,0.146,0.171
2,3,3,6,0.159,0.176,0.187,0.163,0.146,0.171,0.123
2,4,4,1,0.176,0.187,0.163,0.146,0.171,0.123,0.121
2,4,3,2,0.187,0.163,0.146,0.171,0.123,0.121,0.125
2,4,2,3,0.163,0.146,0.171,0.123,0.121,0.125,0.104
2,4,4,4,0.146,0.171,0.123,0.121,0.125,0.104,0.13
2,4,4,5,0.171,0.123,0.121,0.125,0.104,0.13,0.454
2,4,3,6,0.123,0.121,0.125,0.104,0.13,0.454,1.157
3,1,4,1,0.121,0.125,0.104,0.13,0.454,1.157,0.139
3,1,3,2,0.125,0.104,0.13,0.454,1.157,0.139,0.081
3,1,4,3,0.104,0.13,0.454,1.157,0.139,0.081,0.1
3,1,3,4,0.13,0.454,1.157,0.139,0.081,0.1,0.126
3,1,3,5,0.454,1.157,0.139,0.081,0.1,0.126,0.116
3,1,3,6,1.157,0.139,0.081,0.1,0.126,0.116,0.101
3,2,3,1,0.139,0.081,0.1,0.126,0.116,0.101,0.12
3,2,4,2,0.081,0.1,0.126,0.116,0.101,0.12,0.119
3,2,3,3,0.1,0.126,0.116,0.101,0.12,0.119,0.118
3,2,4,4,0.126,0.116,0.101,0.12,0.119,0.118,0.136
3,2,3,5,0.116,0.101,0.12,0.119,0.118,0.136,0.093
3,2,3,6,0.101,0.12,0.119,0.118,0.136,0.093,0.115
3,3,4,1,0.12,0.119,0.118,0.136,0.093,0.115,0.135
3,3,3,2,0.119,0.118,0.136,0.093,0.115,0.135,0.09
3,3,4,3,0.118,0.136,0.093,0.115,0.135,0.09,0.129
3,3,3,4,0.136,0.093,0.115,0.135,0.09,0.129,0.168
3,3,3,5,0.093,0.115,0.135,0.09,0.129,0.168,0.09
3,3,4,6,0.115,0.135,0.09,0.129,0.168,0.09,0.133
3,4,4,1,0.135,0.09,0.129,0.168,0.09,0.133,1.102
3,4,3,2,0.09,0.129,0.168,0.09,0.133,1.102,0.58
3,4,4,3,0.129,0.168,0.09,0.133,1.102,0.58,0.168
3,4,4,4,0.168,0.09,0.133,1.102,0.58,0.168,0.143
3,4,2,5,0.09,0.133,1.102,0.58,0.168,0.143,0.097
3,4,4,6,0.133,1.102,0.58,0.168,0.143,0.097,0.128
4,1,3,1,1.102,0.58,0.168,0.143,0.097,0.128,0.103
4,1,3,2,0.58,0.168,0.143,0.097,0.128,0.103,0.081
4,1,3,3,0.168,0.143,0.097,0.128,0.103,0.081,0.121
4,1,4,4,0.143,0.097,0.128,0.103,0.081,0.121,0.134
4,1,2,5,0.097,0.128,0.103,0.081,0.121,0.134,0.096
4,1,3,6,0.128,0.103,0.081,0.121,0.134,0.096,0.116
4,2,4,1,0.103,0.081,0.121,0.134,0.096,0.116,0.136
4,2,3,2,0.081,0.121,0.134,0.096,0.116,0.136,0.09
4,2,4,3,0.121,0.134,0.096,0.116,0.136,0.09,0.717
4,2,4,4,0.134,0.096,0.116,0.136,0.09,0.717,0.737
4,2,5,5,0.096,0.116,0.136,0.09,0.717,0.737,0.871
4,2,4,6,0.116,0.136,0.09,0.717,0.737,0.871,0.273
4,3,5,1,0.136,0.09,0.717,0.737,0.871,0.273,0.242
4,3,2,2,0.09,0.717,0.737,0.871,0.273,0.242,0.135
4,3,4,3,0.717,0.737,0.871,0.273,0.242,0.135,0.171
4,3,4,4,0.737,0.871,0.273,0.242,0.135,0.171,0.127
4,3,3,5,0.871,0.273,0.242,0.135,0.171,0.127,0.105
4,3,5,6,0.273,0.242,0.135,0.171,0.127,0.105,0.367
4,4,3,1,0.242,0.135,0.171,0.127,0.105,0.367,0.097
4,4,4,2,0.135,0.171,0.127,0.105,0.367,0.097,0.113
4,4,3,3,0.171,0.127,0.105,0.367,0.097,0.113,0.14
4,4,4,4,0.127,0.105,0.367,0.097,0.113,0.14,0.631
4,4,4,5,0.105,0.367,0.097,0.113,0.14,0.631,0.76
4,4,3,6,0.367,0.097,0.113,0.14,0.631,0.76,0.147
5,1,2,1,0.097,0.113,0.14,0.631,0.76,0.147,0.058
5,1,4,2,0.113,0.14,0.631,0.76,0.147,0.058,0.119
5,1,4,3,0.14,0.631,0.76,0.147,0.058,0.119,0.142
5,1,2,4,0.631,0.76,0.147,0.058,0.119,0.142,0.072
5,1,4,5,0.76,0.147,0.058,0.119,0.142,0.072,0.141
5,1,4,6,0.147,0.058,0.119,0.142,0.072,0.141,0.132
5,2,2,1,0.058,0.119,0.142,0.072,0.141,0.132,0.08
5,2,4,2,0.119,0.142,0.072,0.141,0.132,0.08,0.148
5,2,3,3,0.142,0.072,0.141,0.132,0.08,0.148,0.113
5,2,4,4,0.072,0.141,0.132,0.08,0.148,0.113,0.101
5,2,3,5,0.141,0.132,0.08,0.148,0.113,0.101,0.135
5,2,4,6,0.132,0.08,0.148,0.113,0.101,0.135,0.107
5,3,4,1,0.08,0.148,0.113,0.101,0.135,0.107,0.141
5,3,3,2,0.148,0.113,0.101,0.135,0.107,0.141,0.166
5,3,4,3,0.113,0.101,0.135,0.107,0.141,0.166,0.168
5,3,4,4,0.101,0.135,0.107,0.141,0.166,0.168,0.533
5,3,3,5,0.135,0.107,0.141,0.166,0.168,0.533,1.127
5,3,3,6,0.107,0.141,0.166,0.168,0.533,1.127,0.132
5,4,4,1,0.141,0.166,0.168,0.533,1.127,0.132,0.097
5,4,4,2,0.166,0.168,0.533,1.127,0.132,0.097,0.131
5,4,4,3,0.168,0.533,1.127,0.132,0.097,0.131,0.341
5,4,4,4,0.533,1.127,0.132,0.097,0.131,0.341,1.097
5,4,4,5,1.127,0.132,0.097,0.131,0.341,1.097,0.276
5,4,4,6,0.132,0.097,0.131,0.341,1.097,0.276,0.108
6,1,3,1,0.097,0.131,0.341,1.097,0.276,0.108,0.101
6,1,4,2,0.131,0.341,1.097,0.276,0.108,0.101,0.093
6,1,3,3,0.341,1.097,0.276,0.108,0.101,0.093,0.112
6,1,4,4,1.097,0.276,0.108,0.101,0.093,0.112,0.122
6,1,3,5,0.276,0.108,0.101,0.093,0.112,0.122,0.12
6,1,3,6,0.108,0.101,0.093,0.112,0.122,0.12,0.103
6,2,4,1,0.101,0.093,0.112,0.122,0.12,0.103,0.13
6,2,2,2,0.093,0.112,0.122,0.12,0.103,0.13,0.118
6,2,4,3,0.112,0.122,0.12,0.103,0.13,0.118,0.101
6,2,3,4,0.122,0.12,0.103,0.13,0.118,0.101,0.146
6,2,3,5,0.12,0.103,0.13,0.118,0.101,0.146,1.15
6,2,3,6,0.103,0.13,0.118,0.101,0.146,1.15,0.5
6,3,4,1,0.13,0.118,0.101,0.146,1.15,0.5,0.498
6,3,4,2,0.118,0.101,0.146,1.15,0.5,0.498,0.217
6,3,4,3,0.101,0.146,1.15,0.5,0.498,0.217,0.375
6,3,5,4,0.146,1.15,0.5,0.498,0.217,0.375,0.402
6,3,4,5,1.15,0.5,0.498,0.217,0.375,0.402,0.138
6,3,5,6,0.5,0.498,0.217,0.375,0.402,0.138,0.519
6,4,5,1,0.498,0.217,0.375,0.402,0.138,0.519,0.198
6,4,4,2,0.217,0.375,0.402,0.138,0.519,0.198,1.74
6,4,5,3,0.375,0.402,0.138,0.519,0.198,1.74,0.52
6,4,4,4,0.402,0.138,0.519,0.198,1.74,0.52,0.673
6,4,5,5,0.138,0.519,0.198,1.74,0.52,0.673,0.508
6,4,4,6,0.519,0.198,1.74,0.52,0.673,0.508,0.745
7,1,5,1,0.198,1.74,0.52,0.673,0.508,0.745,0.994
7,1,5,2,1.74,0.52,0.673,0.508,0.745,0.994,0.67
7,1,4,3,0.52,0.673,0.508,0.745,0.994,0.67,0.806
7,1,5,4,0.673,0.508,0.745,0.994,0.67,0.806,0.931
7,1,5,5,0.508,0.745,0.994,0.67,0.806,0.931,0.144
7,1,5,6,0.745,0.994,0.67,0.806,0.931,0.144,0.12
7,2,4,1,0.994,0.67,0.806,0.931,0.144,0.12,0.124
7,2,4,2,0.67,0.806,0.931,0.144,0.12,0.124,0.117
7,2,4,3,0.806,0.931,0.144,0.12,0.124,0.117,0.111
7,2,5,4,0.931,0.144,0.12,0.124,0.117,0.111,0.476
7,2,5,5,0.144,0.12,0.124,0.117,0.111,0.476,1.11
7,2,3,6,0.12,0.124,0.117,0.111,0.476,1.11,0.125
7,3,5,1,0.124,0.117,0.111,0.476,1.11,0.125,1.128
7,3,4,2,0.117,0.111,0.476,1.11,0.125,1.128,0.333
7,3,5,3,0.111,0.476,1.11,0.125,1.128,0.333,0.414
7,3,5,4,0.476,1.11,0.125,1.128,0.333,0.414,1.542
7,3,5,5,1.11,0.125,1.128,0.333,0.414,1.542,0.763
7,3,5,6,0.125,1.128,0.333,0.414,1.542,0.763,2.006
7,4,5,1,1.128,0.333,0.414,1.542,0.763,2.006,0.221
7,4,3,2,0.333,0.414,1.542,0.763,2.006,0.221,0.964
7,4,5,3,0.414,1.542,0.763,2.006,0.221,0.964,1.061
7,4,4,4,1.542,0.763,2.006,0.221,0.964,1.061,0.895
7,4,2,5,0.763,2.006,0.221,0.964,1.061,0.895,0.904
7,4,4,6,2.006,0.221,0.964,1.061,0.895,0.904,0.359
1,1,5,1,0.221,0.964,1.061,0.895,0.904,0.359,0.266
1,1,4,2,0.964,1.061,0.895,0.904,0.359,0.266,0.122
1,1,4,3,1.061,0.895,0.904,0.359,0.266,0.122,0.144
1,1,3,4,0.895,0.904,0.359,0.266,0.122,0.144,0.108
1,1,4,5,0.904,0.359,0.266,0.122,0.144,0.108,0.107
1,1,3,6,0.359,0.266,0.122,0.144,0.108,0.107,0.135
1,2,3,1,0.266,0.122,0.144,0.108,0.107,0.135,0.093
1,2,4,2,0.122,0.144,0.108,0.107,0.135,0.093,0.129
1,2,4,3,0.144,0.108,0.107,0.135,0.093,0.129,0.264
1,2,4,4,0.108,0.107,0.135,0.093,0.129,0.264,0.1
1,2,3,5,0.107,0.135,0.093,0.129,0.264,0.1,0.115
1,2,4,6,0.135,0.093,0.129,0.264,0.1,0.115,0.141
1,3,3,1,0.093,0.129,0.264,0.1,0.115,0.141,0.094
1,3,3,2,0.129,0.264,0.1,0.115,0.141,0.094,0.295
1,3,4,3,0.264,0.1,0.115,0.141,0.094,0.295,0.941
1,3,5,4,0.1,0.115,0.141,0.094,0.295,0.941,1.215
1,3,3,5,0.115,0.141,0.094,0.295,0.941,1.215,0.191
1,3,5,6,0.141,0.094,0.295,0.941,1.215,0.191,0.158
1,4,3,1,0.094,0.295,0.941,1.215,0.191,0.158,0.102
1,4,4,2,0.295,0.941,1.215,0.191,0.158,0.102,0.136
1,4,4,3,0.941,1.215,0.191,0.158,0.102,0.136,0.109
1,4,3,4,1.215,0.191,0.158,0.102,0.136,0.109,0.108
1,4,4,5,0.191,0.158,0.102,0.136,0.109,0.108,0.125
1,4,3,6,0.158,0.102,0.136,0.109,0.108,0.125,0.104
2,1,4,1,0.102,0.136,0.109,0.108,0.125,0.104,0.098
2,1,3,2,0.136,0.109,0.108,0.125,0.104,0.098,0.119
2,1,3,3,0.109,0.108,0.125,0.104,0.098,0.119,0.086
2,1,4,4,0.108,0.125,0.104,0.098,0.119,0.086,0.124
2,1,4,5,0.125,0.104,0.098,0.119,0.086,0.124,0.215
2,1,4,6,0.104,0.098,0.119,0.086,0.124,0.215,1.154
2,2,4,1,0.098,0.119,0.086,0.124,0.215,1.154,0.134
2,2,4,2,0.119,0.086,0.124,0.215,1.154,0.134,0.121
2,2,3,3,0.086,0.124,0.215,1.154,0.134,0.121,0.102
2,2,5,4,0.124,0.215,1.154,0.134,0.121,0.102,0.138
2,2,4,5,0.215,1.154,0.134,0.121,0.102,0.138,0.795
2,2,5,6,1.154,0.134,0.121,0.102,0.138,0.795,0.19
2,3,3,1,0.134,0.121,0.102,0.138,0.795,0.19,0.192
2,3,5,2,0.121,0.102,0.138,0.795,0.19,0.192,0.93
2,3,4,3,0.102,0.138,0.795,0.19,0.192,0.93,0.562
2,3,4,4,0.138,0.795,0.19,0.192,0.93,0.562,0.139
2,3,2,5,0.795,0.19,0.192,0.93,0.562,0.139,0.089
2,3,4,6,0.19,0.192,0.93,0.562,0.139,0.089,0.129
2,4,4,1,0.192,0.93,0.562,0.139,0.089,0.129,0.13
2,4,3,2,0.93,0.562,0.139,0.089,0.129,0.13,0.091
2,4,4,3,0.562,0.139,0.089,0.129,0.13,0.091,0.132
2,4,4,4,0.139,0.089,0.129,0.13,0.091,0.132,0.289
2,4,4,5,0.089,0.129,0.13,0.091,0.132,0.289,1.142
2,4,4,6,0.129,0.13,0.091,0.132,0.289,1.142,0.355
3,1,4,1,0.13,0.091,0.132,0.289,1.142,0.355,0.091
3,1,3,2,0.091,0.132,0.289,1.142,0.355,0.091,0.082
3,1,3,3,0.132,0.289,1.142,0.355,0.091,0.082,0.129
3,1,4,4,0.289,1.142,0.355,0.091,0.082,0.129,0.103
3,1,3,5,1.142,0.355,0.091,0.082,0.129,0.103,0.122
3,1,4,6,0.355,0.091,0.082,0.129,0.103,0.122,0.132
3,2,2,1,0.091,0.082,0.129,0.103,0.122,0.132,0.084
3,2,4,2,0.082,0.129,0.103,0.122,0.132,0.084,0.144
3,2,4,3,0.129,0.103,0.122,0.132,0.084,0.144,0.125
3,2,3,4,0.103,0.122,0.132,0.084,0.144,0.125,0.09
3,2,4,5,0.122,0.132,0.084,0.144,0.125,0.09,0.138
3,2,3,6,0.132,0.084,0.144,0.125,0.09,0.138,0.169
3,3,4,1,0.084,0.144,0.125,0.09,0.138,0.169,0.157
3,3,5,2,0.144,0.125,0.09,0.138,0.169,0.157,0.363
3,3,3,3,0.125,0.09,0.138,0.169,0.157,0.363,0.11
3,3,3,4,0.09,0.138,0.169,0.157,0.363,0.11,0.145
3,3,4,5,0.138,0.169,0.157,0.363,0.11,0.145,0.146
3,3,2,6,0.169,0.157,0.363,0.11,0.145,0.146,0.098
3,4,4,1,0.157,0.363,0.11,0.145,0.146,0.098,0.121
3,4,3,2,0.363,0.11,0.145,0.146,0.098,0.121,0.136
3,4,4,3,0.11,0.145,0.146,0.098,0.121,0.136,0.903
3,4,3,4,0.145,0.146,0.098,0.121,0.136,0.903,0.719
3,4,4,5,0.146,0.098,0.121,0.136,0.903,0.719,0.122
3,4,3,6,0.098,0.121,0.136,0.903,0.719,0.122,0.115
4,1,4,1,0.121,0.136,0.903,0.719,0.122,0.115,0.117
4,1,3,2,0.136,0.903,0.719,0.122,0.115,0.117,0.083
4,1,4,3,0.903,0.719,0.122,0.115,0.117,0.083,0.121
4,1,3,4,0.719,0.122,0.115,0.117,0.083,0.121,0.133
4,1,3,5,0.122,0.115,0.117,0.083,0.121,0.133,0.097
4,1,2,6,0.115,0.117,0.083,0.121,0.133,0.097,0.115
4,2,4,1,0.117,0.083,0.121,0.133,0.097,0.115,0.135
4,2,4,2,0.083,0.121,0.133,0.097,0.115,0.135,0.106
4,2,4,3,0.121,0.133,0.097,0.115,0.135,0.106,1.044
4,2,4,4,0.133,0.097,0.115,0.135,0.106,1.044,0.592
4,2,4,5,0.097,0.115,0.135,0.106,1.044,0.592,0.112
4,2,3,6,0.115,0.135,0.106,1.044,0.592,0.112,0.123
4,3,3,1,0.135,0.106,1.044,0.592,0.112,0.123,0.103
4,3,4,2,0.106,1.044,0.592,0.112,0.123,0.103,0.128
4,3,3,3,1.044,0.592,0.112,0.123,0.103,0.128,0.122
4,3,3,4,0.592,0.112,0.123,0.103,0.128,0.122,0.12
4,3,4,5,0.112,0.123,0.103,0.128,0.122,0.12,0.13
4,3,3,6,0.123,0.103,0.128,0.122,0.12,0.13,0.135
